financial_id,Summary,Parent Interest ID,Registered,Published,Updated_1,Category,parliamentary_id,Member,JobTitle,StartDate,EndDate,IsUntilFurtherNotice,PayerName,PayerIsPrivateIndividual,IsPaidAsDirectorOfPayer,PayerPublicAddress,Updated_2,Updated_3,Updated_4,Updated_5,Updated_6,Updated_7,PaymentReceived,ReceivedDate,PaymentType,PaymentDescription,Value,HoursWorked,HoursDetails,IsUltimatePayerDifferent,UltimatePayerName,UltimatePayerProtectedByConfidentiality,UltimatePayerAddress,UltimatePayerNatureOfBusiness,IsPaymentDonated,DonateePaidBy,DonateeType,DonateeDetails,RegularityOfPayment,PeriodForHoursWorked,DonationSource,AcceptedDate,ReceivedEndDate,IsSoleBeneficiary,DonorName,DonorPublicAddress,DonorStatus,DonorCompanyName,DonorCompanyUrl,DonorCompanyIdentifier,DonorCompanyIdentifierSource,DonorTrustDetails,DonorOtherDetails,Appg,VisitLocations_Country_1,VisitLocations_Destination_1,Purpose,Donors_Name_1,Donors_IsPrivateIndividual_1,Donors_PublicAddress_1,Donors_PaymentType_1,Donors_PaymentDescription_1,Donors_Value_1,Donors_IsSoleBeneficiary_1,Donors_Name_2,Donors_IsPrivateIndividual_2,Donors_PublicAddress_2,Donors_PaymentType_2,Donors_PaymentDescription_2,Donors_Value_2,Donors_IsSoleBeneficiary_2,Donors_Name_3,Donors_IsPrivateIndividual_3,Donors_PublicAddress_3,Donors_PaymentType_3,Donors_PaymentDescription_3,Donors_Value_3,Donors_IsSoleBeneficiary_3,VisitLocations_Country_2,VisitLocations_Destination_2,VisitLocations_Country_3,VisitLocations_Destination_3,Donors_Name_4,Donors_IsPrivateIndividual_4,Donors_PublicAddress_4,Donors_PaymentType_4,Donors_PaymentDescription_4,Donors_Value_4,Donors_IsSoleBeneficiary_4,Donors_Name_5,Donors_IsPrivateIndividual_5,Donors_PublicAddress_5,Donors_PaymentType_5,Donors_PaymentDescription_5,Donors_Value_5,Donors_IsSoleBeneficiary_5,IsSoleOwner,Location,PropertyDescription,PropertyOwnerDetails,RentalIncomeDetails,RentalIncomeStartDate,RentalIncomeEndDate,NumberOfProperties,IsLand,IsAnyRentalIncomePaidToAnotherPerson,Country,LandUse,PropertyType,ShareholdingThreshold,RegistrableDate,OrganisationName,OrganisationDescription,HeldOnBehalfOf,ManagedBy,AroseOn,Description,MiscellaneousInterestType,WorkingPattern,PersonName,FamilyMemberRelationshipLevel,FamilyRelationType,Employer
9683,"Romiley Liberal Club and Hall Company Ltd - £10,000.00",,02/08/2024,04/08/2024,,Category 2,5070,Lisa Smart,,,,,,,,,,,,,,,,,Cash,for my general election campaign,10000,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Romiley Liberal Club and Hall Company Ltd,"17 Chapel Street, Hyde SK14 1LF",Company,Romiley Liberal Club and Hall Company Ltd,,120011,Companies House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9252,"Tom Kilroy - £2,000.00",,02/08/2024,04/08/2024,,Category 2,5346,Calum Miller,,,,,,,,,,,,,,,,,Cash,,2000,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Tom Kilroy,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9278,"Rob Blackie Digital Strategy Ltd - £2,000.00",,02/08/2024,04/08/2024,,Category 2,5083,Bobby Dean,,,,,,,,,,,,,,,,,Cash,,2000,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Rob Blackie Digital Strategy Ltd,"53 Brantwood Road, London SE24 0DH",Company,Rob Blackie Digital Strategy Ltd,,10561990,Companies House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9430,"Dominic Church - £4,000.00",,02/08/2024,04/08/2024,,Category 2,5132,Liam Conlon,,,,,,,,,,,,,,,,,Cash,,4000,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Dominic Church,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9618,"Area Properties Ltd - £3,000.00",,02/08/2024,04/08/2024,,Category 2,4005,Bob Blackman,,,,,,,,,,,,,,,,,Cash,donation paid to Harrow East Conservative Association to fighting fund for general election,3000,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Area Properties Ltd,"c/o Mercer & Hole Trinity Court Church Street, Rickmansworth WD3 1RT",Company,Area Properties Ltd,,462299,Companies House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9456,"St Anthony's Liberal Democrats - £1,600.00",,04/08/2024,04/08/2024,,Category 2,5086,Josh Babarinde,,,,,,,,,,,,,,,,,Cash,support for my election campaign.,1600,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,St Anthony's Liberal Democrats,"Avalon, 38 Harding Avenue, Eastbourne BN22 8PL",Registered Party,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9432,Mary Hodge - £500.00,,02/08/2024,04/08/2024,,Category 2,5086,Josh Babarinde,,,,,,,,,,,,,,,,,Cash,donation in support of my election campaign.,500,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Mary Hodge,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9325,"Gary Lubner - £7,500.00",,02/08/2024,04/08/2024,,Category 2,5192,Helena Dollimore,,,,,,,,,,,,,,,,25/07/2023,Cash,Donation to campaign fund towards political campaigning in Hastings and Rye,7500,,,,,,,,,,,,,,(b) Any other support not included in Category 2(a),25/07/2023,,TRUE,Gary Lubner,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9490,"Sen Kandiah - £7,000.00",,02/08/2024,04/08/2024,,Category 2,5278,Uma Kumaran,,,,,,,,,,,,,,,,,Cash,for election campaign printing and associated costs,7000,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Sen Kandiah,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9417,"Musicians' Union - £3,000.00",,02/08/2024,04/08/2024,,Category 2,5132,Liam Conlon,,,,,,,,,,,,,,,,,Cash,,3000,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Musicians' Union,"30 Snowsfields, London SE1 3SU",Trade Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10173,"Francesca Sainsbury Perrin - £20,000.00",,04/08/2024,04/08/2024,,Category 2,5213,Dr Zubir Ahmed,,,,,,,,,,,,,,,,29/01/2024,Cash,,20000,,,,,,,,,,,,,,(b) Any other support not included in Category 2(a),29/01/2024,,TRUE,Francesca Sainsbury Perrin,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9241,"Francesca Perrin - £10,000.00",,02/08/2024,04/08/2024,,Category 2,5079,Joani Reid,,,,,,,,,,,,,,,,03/06/2023,Cash,donation received by my local Labour Party for the election campaign.,10000,,,,,,,,,,,,,,(b) Any other support not included in Category 2(a),03/06/2023,,TRUE,Francesca Perrin,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7441,"Stuart Roden - £5,000.00",,25/07/2024,04/08/2024,,Category 2,5266,Mike Tapp,,,,,,,,,,,,,,,,23/04/2024,Cash,for campaigning at the General Election,5000,,,,,,,,,,,,,,(b) Any other support not included in Category 2(a),23/04/2024,,TRUE,Stuart Roden,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7867,"Michele Brandreth & Gyles Brandreth - £5,000.00",,31/07/2024,04/08/2024,,Category 2,5241,Aphra Brandreth,,,,,,,,,,,,,,,,,Cash,,5000,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Michele Brandreth & Gyles Brandreth,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10383,"James Moore - £2,500.00",,02/08/2024,04/08/2024,,Category 2,5070,Lisa Smart,,,,,,,,,,,,,,,,,Cash,For the General Election Campaign,2500,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,James Moore,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8531,"Samuel D Collins - £2,000.00",,31/07/2024,04/08/2024,,Category 2,4358,Wendy Morton,,,,,,,,,,,,,,,,,Cash,for my general election campaign 2024,2000,,,,,,,,,,,,,,(a) Support linked to an MP but received by a local party organisation or indirectly via a central party organisation,,,TRUE,Samuel D Collins,,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
